Timestamp,Source,Item,Raw Count,Final Count,Whitelisted,Dead,Parked,Toplist,Queries,Status
10:51:23 14-04-24,Google Search,"In this fast-paced world, we all enjoy comfort and convenience in almost everything. We love being c...",99,3,0,0,2,0,10,saved
10:51:23 14-04-24,Google Search,"This website relies on Ethernet smart contracts to operate, please use a decentralized wallet to acc...",28,1,0,2,3,0,3,saved
10:51:23 14-04-24,Google Search,"is your global online store that delivers latest fashion apparel for you! We have handmade toys , dr...",96,3,1,0,8,0,10,saved
10:51:23 14-04-24,Google Search,"Since the customs seized a batch of goods, the company is now short of cash flow, so it took out a b...",10,0,1,0,0,0,3,saved
00:07:00 15-04-24,Manual,,4,3,0,0,0,0,,saved
03:31:06 15-04-24,Manual,,2,2,0,0,0,0,,saved
10:03:19 15-04-24,aa419.org,,250,20,0,8,12,0,,saved
10:03:19 15-04-24,dnstwist,,28,28,0,0,0,0,,saved
10:03:19 15-04-24,guntab.com,,1813,0,0,283,95,0,,saved
10:03:19 15-04-24,petscams.com,,167,0,0,9,2,0,,saved
10:03:19 15-04-24,Regex,,74,74,0,0,0,0,,saved
10:03:19 15-04-24,scam.directory,,100,0,0,16,63,0,,saved
10:03:19 15-04-24,scamadviser.com,,70,0,3,16,9,0,,saved
10:03:19 15-04-24,stopgunscams.com,,75,0,0,3,0,0,,saved
10:03:19 15-04-24,Google Search,"committed to the progress of sustainability within our business practices. With consistent evaluatio...",100,1,0,1,0,0,10,saved
10:03:19 15-04-24,Google Search,"we got you covered with highly professional suppliers and production houses that we keep in close co...",98,0,0,1,2,0,10,saved
10:03:19 15-04-24,Google Search,"No matter where you are, who you are and what you are passionate about we want to be able to provide...",99,0,0,0,2,0,10,saved
10:03:19 15-04-24,Google Search,"We have spent years searching for creative, smart, and useful products around the world and bring th...",100,3,0,0,2,0,10,saved
10:03:19 15-04-24,Google Search,"If you ever have problems with your order, we'll do everything we can to make it right. We aim to tr...",93,7,0,0,0,0,10,saved
10:03:19 15-04-24,Google Search,"Serving customers is our specialty - our devoted team is live and available to assist. We guarantee ...",44,0,0,0,0,0,5,saved
10:03:19 15-04-24,Google Search,"Your satisfaction is our service purpose, if you have any question or need help, please feel free to...",41,0,0,0,0,0,10,saved
10:03:19 15-04-24,Google Search,"Gone are those days you need to be an expert with years of experience, have millions of Pounds or st...",48,0,0,2,1,0,5,saved
10:03:19 15-04-24,Google Search,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alter...",73,0,6,0,0,0,10,saved
10:03:19 15-04-24,Google Search,"is the global leading online retailer for tops, bottoms and dresses. Our dedicated fashion buyers, w...",51,0,0,0,1,0,6,saved
10:03:19 15-04-24,Google Search,"The shipment of your product is our highest priority and everyday we dispatch hundreds of products t...",100,2,0,1,19,0,10,saved
10:03:19 15-04-24,Google Search,"We love cannabis for its wonderful properties which is exactly why we offer the services that we do....",38,0,1,2,1,0,5,saved
10:03:19 15-04-24,Google Search,"your number one source for all things cosmetic and personal care product....",38,1,0,1,2,0,10,saved
10:03:19 15-04-24,Google Search,"In this fast-paced world, we all enjoy comfort and convenience in almost everything. We love being c...",97,1,0,0,18,0,10,saved
10:03:19 15-04-24,Google Search,"This website relies on Ethernet smart contracts to operate, please use a decentralized wallet to acc...",28,0,0,2,3,0,3,saved
10:03:19 15-04-24,Google Search,"is your global online store that delivers latest fashion apparel for you! We have handmade toys , dr...",99,4,1,0,13,0,10,saved
10:03:19 15-04-24,Google Search,"is one of the leading chargeback firms worldwide. Specializing in online trading scams (Forex, Binar...",39,34,0,0,0,1,6,saved
